Time (s),ECG
1.571,239
1.571,242
1.572,239
1.572,240
1.572,240
1.583,0
1.583,0
1.583,0
1.584,0
1.584,0
1.584,0
1.584,38
1.585,187
1.585,285
1.585,267
1.585,264
1.586,254
1.586,244
1.586,238
1.586,224
1.587,232
1.597,0
1.598,0
1.598,0
1.598,0
1.598,0
1.599,0
1.599,0
1.599,0
1.599,0
1.6,0
1.6,0
1.6,0
1.6,0
1.601,0
1.601,0
1.601,0
1.602,0
1.602,0
1.602,0
1.602,0
1.613,240
1.613,243
1.613,237
1.614,204
1.614,0
1.614,0
1.614,0
1.615,0
1.615,0
1.615,0
1.616,0
1.616,0
1.616,0
1.616,0
1.617,0
1.617,0
1.617,0
1.617,0
1.618,0
1.628,233
1.628,240
1.629,240
1.629,240
1.629,239
1.63,240
1.63,240
1.63,242
1.63,236
1.631,240
1.631,240
1.631,242
1.631,240
1.632,240
1.632,236
1.642,0
1.643,0
1.643,0
1.643,0
1.643,0
1.644,0
1.644,0
1.644,125
1.645,286
1.645,272
1.645,269
1.645,259
1.646,241
1.646,238
1.646,231
1.646,233
1.647,223
1.657,0
1.657,0
1.658,0
1.658,0
1.658,0
1.659,0
1.659,0
1.659,0
1.659,0
1.66,0
1.66,0
1.66,0
1.66,0
1.661,0
1.661,0
1.661,0
1.662,0
1.662,0
1.662,0
1.673,240
1.673,244
1.673,240
1.673,240
1.674,239
1.674,4
1.674,0
1.674,0
1.675,0
1.675,0
1.675,0
1.675,0
1.676,0
1.676,0
1.676,0
1.677,0
1.677,0
1.677,0
1.677,0
1.688,229
1.688,235
1.688,240
1.689,231
1.689,229
1.689,234
1.689,235
1.69,240
1.69,237
1.69,240
1.691,236
1.691,235
1.691,240
1.691,234
1.692,234
1.702,0
1.702,0
1.703,0
1.703,0
1.703,0
1.703,0
1.704,0
1.704,0
1.704,246
1.705,291
1.705,256
1.705,260
1.705,243
1.706,240
1.706,239
1.706,240
1.706,224
1.717,0
1.717,0
1.717,0
1.718,0
1.718,0
1.718,0
1.718,0
1.719,0
1.719,0
1.719,0
1.72,0
1.72,0
1.72,0
1.72,0
1.721,0
1.721,0
1.721,0
1.721,0
1.722,0
1.732,239
1.732,247
1.733,241
1.733,240
1.733,244
1.734,161
1.734,0
1.734,0
1.734,0
1.735,0
1.735,0
1.735,0
1.735,0
1.736,0
1.736,0
1.736,0
1.737,0
1.737,0
1.747,209
1.748,240
1.748,234
1.748,240
1.748,240
1.749,240
1.749,234
1.749,239
1.749,240
1.75,240
1.75,238
1.75,241
1.75,240
1.751,240
1.751,239
1.761,0
1.762,0
1.762,0
1.762,0
1.763,0
1.763,0
1.763,0
1.763,0
1.764,0
1.764,73
1.764,299
1.764,279
1.765,269
1.765,256
1.765,245
1.766,240
1.766,240
1.776,0
1.777,0
1.777,0
1.777,0
1.777,0
1.778,0
1.778,0
1.778,0
1.778,0
1.779,0
1.779,0
1.779,0
1.78,0
1.78,0
1.78,0
1.78,0
1.781,0
1.781,0
1.781,0
1.781,0
1.792,240
1.792,247
1.792,245
1.793,245
1.793,245
1.793,230
1.794,2
1.794,0
1.794,0
1.794,0
1.795,0
1.795,0
1.795,0
1.795,0
1.796,0
1.796,0
1.796,0
1.797,0
1.807,208
1.807,237
1.808,238
1.808,239
1.808,237
1.808,235
1.809,237
1.809,240
1.809,237
1.809,240
1.81,234
1.81,239
1.81,238
1.811,240
1.811,240
1.821,0
1.822,0
1.822,0
1.822,0
1.822,0
1.823,0
1.823,0
1.823,0
1.823,0
1.824,0
1.824,208
1.824,291
1.825,267
1.825,261
1.825,250
1.825,245
1.826,231
1.826,231
1.836,0
1.837,0
